,fever,respiratory,pneumonia,cough,headache,pain
Meraux,0,0,0,0,0,1
Bethel,1,0,0,0,0,0
Westmont,0,0,1,0,0,0
North Bellport,0,1,0,0,0,0
Hot Springs,1,0,0,0,0,0
Johnson City,0,0,0,0,0,1
Detroit,0,0,0,0,0,1
Kulpmont,0,0,0,0,0,1
North Carolina,1,0,0,0,0,0
Fremont,0,1,0,0,0,0
Carson City,1,0,0,0,0,0
Lancaster,0,0,0,0,0,1
Financial District,0,0,0,1,0,0
Gainesville,0,1,0,0,0,0
Louisburg,1,0,0,0,0,0
Allen Park,0,0,0,0,0,1
Houston,1,0,1,0,0,0
Monterey Park,0,0,2,0,0,0
Florida,0,0,0,0,0,1
Brooklyn,1,0,0,0,0,0
New Orleans,1,0,0,0,0,0
Buckeye,0,0,0,1,0,0
Philadelphia,0,1,0,0,0,0
Reston,1,0,0,0,0,0
