,fever,respiratory,pneumonia,cough,headache,pain
Holly,0,0,0,1,0,0
Mississippi,0,0,0,1,0,0
Houston,1,0,2,0,0,0
Manhattan,1,0,0,0,0,1
Virginia,0,1,0,0,0,0
Rocky Mount,0,1,0,0,0,0
Arcadia,1,0,0,0,0,0
Florida,0,0,0,0,0,1
East Gillespie,1,0,0,0,0,0
Babylon,0,0,1,0,0,0
Belmont,0,1,0,0,0,0
My Kitchen Table,0,0,0,1,0,0
Pennsylvania,0,1,0,0,0,1
Sparks,0,1,0,0,0,0
Ohio,1,0,1,1,0,1
South Carolina,0,1,0,0,0,1
Kihei,0,0,0,0,0,1
Worcester,0,1,0,0,0,0
Lacey,0,0,0,0,0,1
Fountain Hills,0,0,0,0,0,1
Grapevine,0,2,0,0,0,0
Austin,0,1,0,0,0,0
Roseburg,0,1,0,0,0,0
