,fever,respiratory,pneumonia,cough,headache,pain
Edgewood,0,1,0,0,0,0
Hood River,0,0,1,0,0,0
Seattle,0,1,0,1,0,0
Brooklyn,0,0,0,1,0,0
New Orleans,0,0,0,0,0,1
New Milford,0,0,0,1,0,0
Newport,0,1,0,0,0,0
Coral Terrace,0,0,0,0,0,1
Ellicott City,1,0,0,1,0,0
Staten Island,1,0,0,1,0,0
Berkeley,0,0,0,0,1,0
Arlington,0,1,0,0,0,0
Elk Grove,0,0,0,1,0,0
California,0,0,0,1,0,0
Manchester,0,0,0,0,0,1
Virginia,0,1,0,0,0,0
Blasdell,1,0,0,0,0,0
Burien,0,0,0,0,0,1
Durham,0,1,0,0,0,0
Albuquerque,0,1,0,0,0,0
Florida,0,0,0,1,0,0
Queens,0,0,0,0,0,1
Clearwater,0,3,0,0,0,0
