,fever,respiratory,pneumonia,cough,headache,pain
Pennsylvania,0,1,0,0,0,0
Loughman,0,0,0,0,0,1
Sacramento,0,0,0,1,0,0
Brooklyn,1,0,0,1,0,0
Penn Hills,0,0,0,0,0,1
Manhattan,0,0,0,0,0,1
Hondo,0,0,0,0,0,1
North Carolina,0,2,0,0,0,0
Lincoln,0,1,0,0,0,0
Chicago,0,0,0,0,0,1
O'Fallon,0,0,0,1,0,0
New Jersey,1,0,0,0,0,0
Mount Laurel,0,1,0,0,0,0
Tuckahoe,1,0,0,0,0,0
Denver,0,0,1,0,0,0
Atlanta,0,1,0,0,0,0
Savannah,1,0,0,0,0,0
Shaler Township,0,1,0,0,0,0
Athens,1,0,0,0,0,0
Minnesota,0,0,1,0,0,0
Encinitas,0,1,0,0,0,0
South Cleveland,1,0,0,0,0,0
Kansas,0,0,0,1,0,0
New Orleans,2,0,0,1,0,0
Alabama,0,0,1,0,0,0
Oshkosh,0,0,0,1,0,0
Queens,0,1,0,0,0,0
Philadelphia,1,0,0,0,0,0
Nevada,0,0,1,0,0,0
Louisiana,0,0,1,0,0,0
Baton Rouge,0,0,1,0,0,0
Oneonta,0,0,0,0,0,1
Columbia Heights,1,0,0,0,0,0
