,fever,respiratory,pneumonia,cough,headache,pain
Mission,0,0,0,0,0,1
Tanglewilde,0,0,0,1,0,0
South Carolina,0,1,0,0,0,0
Texas,0,0,0,1,0,0
Westland,1,0,0,0,0,0
Seattle,0,0,0,0,0,1
Eugene,0,1,0,0,0,0
Orange,0,0,1,0,0,0
Maryland,0,0,1,0,0,0
Delaware,0,1,0,0,0,0
Tennessee,0,0,0,1,0,0
Tunnel Hill,1,0,0,1,0,0
Baltimore,1,0,0,0,0,0
Queens,0,0,0,1,0,0
Honolulu,1,0,0,0,0,0
Dallas,0,0,0,1,0,0
Hammond,0,1,0,0,0,0
Pittsburgh,0,0,1,0,0,0
Boston,0,0,1,0,0,0
Pennsylvania,0,0,0,0,0,1
Ewa Gentry,0,0,0,0,0,1
Florida,1,0,0,0,0,0
California,0,0,0,2,0,1
Kenmore,0,0,0,1,0,0
Brooklyn,0,0,0,1,0,0
Indianapolis,0,1,0,0,0,0
Anaheim,1,0,0,0,0,0
Wilkes-Barre,0,0,0,0,0,1
