,fever,respiratory,pneumonia,cough,headache,pain
Brooklyn,1,0,0,0,0,0
Olathe,1,0,0,0,0,0
Dallas,0,0,0,1,0,0
Shaler Township,1,0,0,0,0,0
Rosenberg,0,0,0,1,0,0
Queens,0,2,0,1,0,0
Lompoc,1,0,0,0,0,2
Brentwood,0,0,0,0,0,1
Chicago,0,0,0,1,0,0
Florida,0,0,1,1,0,0
Manhattan,1,0,0,0,0,0
California,1,0,0,0,0,0
Irvington,0,0,0,0,0,1
Texas,1,0,0,0,0,0
McAllen,1,0,0,0,0,0
University,0,0,0,0,1,0
Washington,0,0,0,1,0,0
Cheektowaga,0,0,0,1,0,0
Mishawaka,0,0,1,0,0,0
Seattle,0,1,0,0,0,0
Las Vegas,0,0,0,1,0,0
Eton,0,0,0,0,1,0
Massachusetts,0,0,0,1,0,0
Londontowne,0,0,0,0,0,1
High Point,0,0,0,1,0,0
Bethesda,0,0,0,1,0,0
